cod_cidade,cidade,uf,loggi,dits_caj,populucao,area,malha_aerea
3547304,Santana de Parnaíba (SP),SP,0,43.132,131971,183.816,0
3503307,Araras (SP),SP,0,171.887,131286,643.457,0
2304202,Crato (CE),CE,0,2480.000747,130620,1009.202,0
4322400,Uruguaiana (RS),RS,0,1545.000918,129760,5715.782,0
4119152,Pinhais (PR),PR,0,407.397,129450,61.007,0
4202909,Brusque (SC),SC,0,634.469,128872,283.445,0
3513504,Cubatão (SP),SP,0,64.975,128741,142.281,0
3204906,São Mateus (ES),ES,0,1144.000717,128272,2343.251,0
1504422,Marituba (PA),PA,0,2843.000754,127907,103.279,0
2306405,Itapipoca (CE),CE,0,3133.000961,127501,1614.682,0
4316808,Santa Cruz do Sul (RS),RS,0,1272.000296,127442,733.473,0
3118304,Conselheiro Lafaiete (MG),MG,0,591.473,127380,369.544,0
4303103,Cachoeirinha (RS),RS,0,1119.000146,127333,43.766,0
4104204,Campo Largo (PR),PR,0,458.547,127333,1249.422,0
3300209,Araruama (RJ),RJ,0,550.879,127017,633.795,0
3304201,Resende (RJ),RJ,0,282.038,126927,1113.507,0
2307700,Maranguape (CE),CE,0,2930.000601,126534,590.824,0
3201506,Colatina (ES),ES,0,992.342,124504,1423.271,0
1501709,Bragança (PA),PA,0,2868.000833,124154,2090.234,0
3556206,Valinhos (SP),SP,0,96.827,124066,148.528,0
3202405,Guarapari (ES),ES,0,909.941,123181,592.231,0
3551702,Sertãozinho (SP),SP,0,339.083,122653,402.803,0
3302007,Itaguaí (RJ),RJ,0,408.212,122559,271.563,0
3171204,Vespasiano (MG),MG,0,613.374,122450,70.108,0
4301602,Bagé (RS),RS,0,1501.000817,122197,4095.526,0
2107506,Paço do Lumiar (MA),MA,0,2911.000463,121909,132.41,0
3543303,Ribeirão Pires (SP),SP,0,49.662,121837,99.175,0
3525003,Jandira (SP),SP,0,41.795,121506,17.523,0
5221403,Trindade (GO),GO,0,924.236,121280,713.28,0
2103307,Codó (MA),MA,0,2686.000293,120754,4364.499,0
3506508,Birigui (SP),SP,0,508.018,120701,530.651,0
3511102,Catanduva (SP),SP,0,389.121,120676,292.24,0
3505500,Barretos (SP),SP,0,428.241,120626,1563.611,0
2924009,Paulo Afonso (BA),BA,0,2241.000773,120590,1573.627,0
3518404,Guaratinguetá (SP),SP,0,187.539,120406,751.443,0
3557006,Votorantim (SP),SP,0,106.035,119901,183.998,0
3131703,Itabira (MG),MG,0,706.941,119290,1256.496,0
3554003,Tatuí (SP),SP,0,145.781,118944,524.156,0
3556503,Várzea Paulista (SP),SP,0,60.492,118924,34.627,0
4101507,Arapongas (PR),PR,0,588.205,118502,381.091,0
5008305,Três Lagoas (MS),MS,0,668.593,117498,10206.37,1
3103504,Araguari (MG),MG,0,657.138,117435,2730.632,0
3510500,Caraguatatuba (SP),SP,0,172.821,116822,483.95,0
3523404,Itatiba (SP),SP,0,85.755,116533,322.522,0
3545209,Salto (SP),SP,0,104.492,116194,134.258,0
