,cod_cidade,cidade,uf,loggi,dist_caj,populcao,area,malha_aerea,importancia,dens_pop,f
53,2301000,Aquiraz (CE),CE,0,2917.0003309999997,79147,480.976,0,0,164.55498819067896,0.008227749409533948
54,2111201,São José de Ribamar (MA),MA,0,2914.000343,177651,386.282,0,0,459.89976234978593,0.022994988117489297
55,2304954,Guaiúba (CE),CE,0,2913.000094,26337,267.203,0,0,98.56551011777563,0.004928275505888782
56,2107506,Paço do Lumiar (MA),MA,0,2911.000463,121909,132.41,0,0,920.693301110188,0.046034665055509405
57,2412203,São José de Mipibu (RN),RN,0,2910.000696,43991,293.877,0,0,149.69187789449327,0.007484593894724664
58,2111300,São Luís (MA),MA,0,2905.000239,1091347,827.1410000000001,1,3,1319.420751721895,0.6659710375860948
59,2306256,Itaitinga (CE),CE,0,2903.000003,39321,150.78799999999998,0,0,260.7700878053957,0.013038504390269785
60,2105104,Icatu (MA),MA,0,2895.0005739999997,26834,1448.796,0,0,18.521586199851463,0.0009260793099925732
61,2404200,Goianinha (RN),RN,0,2890.000266,26073,192.27700000000002,0,0,135.60124195821652,0.006780062097910826
62,2305233,Horizonte (CE),CE,0,2885.00066,65992,159.972,0,0,412.5221913834921,0.020626109569174603
63,2303501,Cascavel (CE),CE,0,2885.000378,71088,837.967,0,0,84.8338896400455,0.004241694482002275
64,2309607,Pacajus (CE),CE,0,2875.000246,70954,254.435,0,0,278.8688663116317,0.013943443315581583
65,1501709,Bragança (PA),PA,0,2868.0008329999996,124154,2090.234,0,0,59.39717754088777,0.002969858877044388
66,1501501,Benevides (PA),PA,0,2862.0007769999997,61013,187.868,0,0,324.7652607149701,0.016238263035748504
67,1501402,Belém (PA),PA,0,2859.000436,1451439,1064.9180000000001,1,1,1362.9584625295092,0.2681479231264755
68,2109601,Rosário (MA),MA,0,2854.000911,42313,685.0269999999999,0,0,61.76836825409802,0.003088418412704901
69,1504422,Marituba (PA),PA,0,2843.0007539999997,127907,103.279,0,0,1238.4608681338898,0.06192304340669449
70,1500800,Ananindeua (PA),PA,0,2842.0004670000003,515927,185.05700000000002,0,0,2787.935609028569,0.13939678045142845
71,1506500,Santa Izabel do Pará (PA),PA,0,2838.000529,68851,717.615,0,0,95.94420406485372,0.004797210203242686
72,2110203,Santa Rita (MA),MA,0,2827.0006550000003,37117,786.081,0,0,47.2177803559684,0.00236088901779842
73,2512903,Rio Tinto (PB),PB,0,2822.000489,24149,466.397,0,0,51.77777730131197,0.0025888888650655987
74,1502400,Castanhal (PA),PA,0,2808.000689,195249,1029.191,0,0,189.71114205234986,0.009485557102617493
75,2513703,Santa Rita (PB),PB,0,2788.000371,136849,726.565,0,0,188.35066373965162,0.009417533186982581
76,2503209,Cabedelo (PB),PB,0,2783.000556,68081,31.265,0,0,2177.5467775467773,0.10887733887733887
77,2408003,Mossoró (RN),RN,0,2779.000273,295641,2110.2070000000003,0,1,140.1004735554379,0.1070050236777719
78,1502103,Cametá (PA),PA,0,2778.000279,134080,3081.36,0,0,43.513253887893654,0.002175662694394683
79,2507507,João Pessoa (PB),PB,0,2773.000992,811847,210.551,1,3,3855.82115496958,0.792791057748479
80,2501807,Bayeux (PB),PB,0,2769.00089,96994,31.784000000000002,0,0,3051.6612131890256,0.1525830606594513
81,1500107,Abaetetuba (PA),PA,0,2759.000523,153334,1610.743,0,0,95.1945779059726,0.00475972889529863
82,2205508,José de Freitas (PI),PI,0,2756.000439,38542,1538.205,0,0,25.056478167734472,0.0012528239083867236
83,2504603,Conde (PB),PB,0,2755.000476,24783,172.949,0,0,143.29657876021253,0.0071648289380106265
84,2211100,União (PI),PI,0,2748.0001030000003,43744,1173.447,0,0,37.278206855529056,0.001863910342776453
85,2503001,Caaporã (PB),PB,0,2731.000539,21873,150.168,0,0,145.6568643119706,0.007282843215598529
86,2511202,Pedras de Fogo (PB),PB,0,2728.000248,28494,401.12,0,0,71.03609892301556,0.003551804946150778
87,2606200,Goiana (PE),PE,0,2715.000978,79242,501.17,0,0,158.11401320909073,0.007905700660454536
88,2103000,Caxias (MA),MA,0,2708.000853,162614,5223.981,0,0,31.12836742706377,0.0015564183713531884
89,2607604,Ilha de Itamaracá (PE),PE,0,2700.000969,25806,65.411,0,0,394.5207992539481,0.019726039962697405
90,2607752,Itapissuma (PE),PE,0,2694.000366,26344,74.249,0,0,354.80612533502136,0.017740306266751067
91,2112209,Timon (MA),MA,0,2689.000172,167625,1740.559,0,0,96.30526744568843,0.004815263372284421
92,2211001,Teresina (PI),PI,0,2686.000729,850083,1670.7979999999998,1,3,508.78861478167926,0.6254394307390839
93,2103307,Codó (MA),MA,0,2686.000293,120754,4364.499,0,0,27.667322182912635,0.0013833661091456318
94,2606804,Igarassu (PE),PE,0,2683.000019,115438,305.565,0,0,377.7854139053884,0.018889270695269418
95,2508307,Lagoa Seca (PB),PB,0,2681.000654,27540,109.34200000000001,0,0,251.87027857547875,0.012593513928773937
96,2610707,Paulista (PE),PE,0,2674.000884,328387,93.51799999999999,0,0,3511.4844201116366,0.17557422100558184
